=== t18_belief_cut  35 mm  4.0 s  96 frames at 24 fps  482482 returns ===
    machine: hero surveyor/default skin=player wear=0.35 dmg=0.00 clip=walk
  frame     t_s      x       y       z    step_mm   focus_m   belief_t
     52   2.185   45.47    1.37   23.46      20.5     9.53      4.68
     53   2.227   45.49    1.37   23.45      20.6     9.59      4.73
     54   2.269   45.51    1.37   23.45      20.8     9.66      4.77
     55   2.311   45.53    1.37   23.45      20.9     9.72      4.81
     56   2.353   45.55    1.37   23.45      21.0     9.78      4.85
     57   2.395   45.57    1.37   23.45      21.1     9.84      4.89
     58   2.437   45.60    1.37   23.45      21.2     9.91      4.94
     59   2.479   45.62    1.37   23.45      21.2     9.97      4.98
     60   2.521   45.64    1.37   23.44      21.2    10.03      5.02
     61   2.563   45.66    1.37   23.44      21.2    10.09      5.06
     62   2.605   45.68    1.37   23.44      21.2    10.16      5.11
     63   2.647   45.70    1.37   23.44      21.1    10.22      5.15
     64   2.689   45.72    1.37   23.44      21.0    10.28      5.19
     65   2.731   45.74    1.37   23.44      20.9    10.34      5.23
     66   2.773   45.76    1.37   23.44      20.8    10.41      5.27
     67   2.815   45.78    1.37   23.43      20.7    10.47      5.32
     68   2.857   45.81    1.37   23.43      20.5    10.53      5.36
     69   2.899   45.83    1.37   23.43      20.3    10.59      5.40
     70   2.941   45.85    1.37   23.43      20.1    10.65      5.44
     71   2.983   45.87    1.37   23.43      19.8    10.71      5.48
     72   3.025   45.88    1.37   23.43      19.5    10.76      5.53
     73   3.067   45.90    1.37   23.43      19.3    10.82      5.57
     74   3.109   45.92    1.37   23.43      19.0    10.88      5.61
     75   3.151   45.94    1.37   23.42      18.6    10.93      5.65
     76   3.193   45.96    1.37   23.42      18.3    10.99      5.69
     77   3.235   45.98    1.37   23.42      17.9    11.04      5.74
     78   3.277   46.00    1.37   23.42      17.5    11.09      5.78
     79   3.319   46.01    1.37   23.42      17.1    11.14      5.82
     80   3.361   46.03    1.37   23.42      16.7    11.19      5.86
     81   3.403   46.05    1.37   23.42      16.3    11.24      5.90
     82   3.445   46.06    1.37   23.42      15.8    11.29      5.95
     83   3.487   46.08    1.37   23.41      15.4    11.33      5.99
     84   3.529   46.09    1.37   23.41      14.9    11.38      6.03
     85   3.571   46.11    1.37   23.41      14.4    11.42      6.07
     86   3.613   46.12    1.37   23.41      13.9    11.46      6.11
     87   3.655   46.13    1.37   23.41      13.4    11.50      6.16
     88   3.697   46.15    1.37   23.41      12.9    11.54      6.20
     89   3.739   46.16    1.37   23.41      12.3    11.58      6.24
     90   3.782   46.17    1.37   23.41      11.8    11.61      6.28
     91   3.824   46.18    1.37   23.41      11.3    11.65      6.32
     92   3.866   46.19    1.37   23.41      10.7    11.68      6.37
     93   3.908   46.20    1.37   23.41      10.2    11.71      6.41
     94   3.950   46.21    1.36   23.41       9.6    11.74      6.45
     95   3.992   46.22    1.36   23.41       9.1    11.76      6.49
     96   4.034   46.23    1.36   23.40       8.5    11.79      6.53
     97   4.076   46.24    1.36   23.40       8.0    11.81      6.58
     98   4.118   46.24    1.36   23.40       7.4    11.83      6.62
     99   4.160   46.25    1.36   23.40       6.9    11.85      6.66
    100   4.202   46.26    1.36   23.40       6.4    11.87      6.70
    101   4.244   46.26    1.36   23.40       5.9    11.89      6.74
    102   4.286   46.27    1.36   23.40       5.3    11.91      6.79
    103   4.328   46.27    1.36   23.40       4.9    11.92      6.83
    104   4.370   46.28    1.36   23.40       4.4    11.93      6.87
